sent_to,count
Stockport Clinical Commissioning Group,1
The Northern Care Alliance NHS Trust,1
Staffordshire County Council,1
Stafford and Surrounds Clinical Commissioning Group,1
The Portland Hospital,1
"St John’s College, Oxford University",1
St George’s University Hospitals NHS Foundation Trust,1
Suffolk Highways,1
St George’s Hospital,1
St Charles Hospital,1
St Andrews Healthcare,1
The Resuscitation Council UK,1
Specsavers UK,1
The Scout Association,1
Three Sisters Care Ltd,1
SubCPartner,1
Suffolk Safeguarding Partnership,1
Royal College Emergency Medicine,1
Tameside General Hospital,1
The Barking Havering and Redbridge University NHS Trust,1
The Avenues Trust Group,1
"The Asset, Policy and Commissioning Manager",1
Tettenhall Medical Practice,1
Tesco PLC,1
"Tees, Esk and Wear Valley NHS Trust",1
The Castle Rock Group,1
Sussex Police,1
The Limes Sheltered Housing,1
Sussex Partnership Foundation NHS Trust,1
Suspension Bridge Trustees,1
Surrey and Sussex Healthcare NHS Trust,1
The Department for Work and Pensions,1
The Dudley NHS Trust,1
The Great Western Hospital NHS Foundation Trust,1
The Highways Agency,1
South Yorkshire Police HQ,1
South West Yorkshire Partnership,1
South Wales Police,1
Royal Cornwall Hospital,1
Transport and Rural Affairs at Suffolk County Council,1
Royal United Hospital Bath,1
Treanor Pujol Limited,1
Turning Point,1
Tyne Housing Association,1
University Health Board,1
University Hospital Southampton NHS Foundation Trust,1
Royal College of Radiologists,1
South Tees Hospitals NHS Foundation Trust,1
Royal College of Psychiatrist,1
University Hospital of Derby and Burton,1
University Hospitals Bristol,1
Royal College of Obstetrics and Gynaecology,1
Royal College of Obstetricians and Gynaecologists,1
Royal College of Nursing and Midwifery,1
The Black Country Family Practice,1
Trafford Metropolitan Borough Council,1
Royal United Hospitals,1
Royal Yachting Association,1
Rush Green Medical Centre,1
Tonic Construction Ltd,1
Trafford Borough Council,1
South Hampshire Ambulance Service,1
South Central Ambulance Service,1
SoS for DCMS,1
Trafford CCG,1
Shropshire Community Health NHS Trust,1
Sherwood Forest Hospitals NHS Foundation Trust,1
Trafford Clinical Commissioning Group,1
Sheffield Children’s NHS Trust,1
Senior Highway Engineer for Surrey,1
Trafford Crisis Resolution and Home Treatment Team,1
Sandwell and West Birmingham NHS Trust,1
SE Galvanisers,1
Rushcliffe,1
999 Liaison Committee,1
Meade Close Care Home,1
Morton Hall Immigration Removal Centre,1
Clinisys UK,1
DHL Supply Chain UKI,1
Covid-19 Pandemic Response Service,1
Coventry University,1
County Durham and Darlington NHS Trust,1
Cornwall County Council,1
Cornwall Council,1
Consultant Psychiatrist Keats House London,1
Comfort Call Limited,1
College of Policing,1
City and County Healthcare Group,1
Delamere Medical Practice,1
"Children’s Services, Haringey Council",1
Cheshire Fire and Rescue,1
Cheshire East Highways Department,1
Cheshire East Council,1
Cheshire Constabulary,1
Central and North West London Mental Health Trust,1
Central & North West London NHS Foundation Trust,1
Carlsberg Supply Co Ltd,1
Carillion,1
Dartford and Gravesend NHS Trust,1
Department for Digital Culture Media and Sport,1
Cardiff and Vale University Health Board,1
Dorset Council Highways Department,1
East of England Ambulance Service,1
East Suffolk and North Essex NHS Foundation Trust,1
East & North Hertfordshire NHS Trust,1
EFAS,1
Durham County Council Highways Section,1
Durham County Council,1
Driver and Vehicle Standards Agency,1
Dorset Police,1
Dorset Healthcare University NHS Foundation Trust,1
Doncaster County Council,1
Department for Housing Communities and Local Government,1
Dispensing Doctors Association,1
Disclosure and Barring Service,1
Devon and Cornwall Police Adult Safeguarding Team,1
Devon and Cornwall Constabulary,1
Devon Partnership NHS Trust,1
Derriford Hospital,1
Department of Culture Media and Sport,1
Department fr Health,1
"Department for Levelling Up, Housing and Communities",1
Care Outlook Ltd,1
Cardiff University,1
Egton Medical Information Systems,1
Aneurin University Health Board,1
Baroness Vere of Norbiton,1
Banes CCG,1
Balfour Beatty Route Manager,1
BT,1
BMI The Shelburne Hospital,1
Audlem Medical Practice,1
Ashford Borough Council,1
Ashfield Surgery Sutton Coldfield,1
Arboricultural Association,1
Alexandra View Care Home,1
Barts and Whipps Trust,1
Airedale NHS Trust,1
Advisory Council on the Misuse of Drugs,1
Advinia Healthcare Ltd,1
Advanced Health & Care Ltd,1
Adult Social Services,1
Adult Safeguarding Kent County Council,1
Adult Safeguarding Civic Centre,1
"Acute Mental Health Services, West London NHS Trust",1
Able Care and Support Services Ltd,1
Barts Health NHS Foundation Trust,1
Bassetlaw,1
Camden Council,1
Bodmin Road Health Centre,1
Calderdale Council,1
CAMIS,1
Bury Metropolitan Borough Council,1
British Transport Police,1
British National Formulary,1
British Mountaineering Council,1
British Association of Dermatologists,1
Brighton and Hove City Council,1
Borough Care,1
Black Country NHS Foundation Trust,1
Bausch & Lomb UK Ltd,1
Birmingham Community NHS Trust,1
Birmingham City Council,1
Betsi Cadwaladr University Health Board BCUHB,1
Belong Village,1
Belgravia Care Home Ltd,1
Beeston Health Centre,1
Beechdene Residential Home,1
Beechdale Medical Group,1
Bedford Hospital NHS Trust,1
East of England Ambulance Service NHS Trust,1
Emergency Call Prioritisation Advisory Group,1
Ministry of Defence,1
Land Owner,1
London Fire Brigade,1
London Central & West Unscheduled Care Collaborative,1
London Borough of Tower Hamlets,1
London Borough of Lewisham Adult Care Services,1
London Borough of Hounslow,1
Liverpool Heart and Chest Hospital,1
Liverpool City Council,1
Lincolnshire County Council,1
Leek Health Centre,1
Lancs & Cumbria Lifts UK Ltd,1
Long Furlong Medical Centre,1
Lancashire and South Cumbria Integrated Care Board,1
Lancashire Care NHS Trust,1
Lambton Care Home,1
Lambeth Borough Council,1
LNER,1
Kettering General Hospital NHS Foundation Trust,1
Kent Police,1
Kent County Council,1
Jubilee Court Nursing Home,1
London and South Eastern Railway,1
Luton Borough Council,1
Interweave,1
Merseyside Passenger Transport Authority,1
Ministry for Housing and Local Government,1
Milton Keynes University Hospital,1
Milton Keynes Hospital,1
Military Aviation Authority,1
Midlands and Lancashire Commissioning Support Unit,1
Midlands Partnership NHS Trust,1
Mid and South Essex NHS Foundation Trust,1
Mid Yorkshire Hospitals NHS Trust,1
Merseyside Police,1
Medway Maritime Hospital,1
Maidstone and Tunbridge Wells NHS Foundation Trust,1
Medicines and Healthcare Products Regulatory Agency,1
Medication and Healthcare Products Regulatory Agency,1
Medica Reporting Ltd,1
AACE’s National Directors of Operations Group,1
Maylands Health Care,1
Marble Ideas Ltd,1
Mansfield and Ashfield,1
Manor Field Surgery,1
Manchester United Football Club Digital Culture Media and Sport,1
Jet2.com Ltd,1
International Maritime Organisation,1
Emsworth Surgery,1
G4S,1
HM Inspector of Railways,1
HC One,1
Gwent Police,1
Greater Manchester West Mental Health NHS Trust,1
Greater Manchester NHS Area Team,1
Grange Clinic,1
Gloucestershire NHS Trust,1
Gloucestershire Hospital NHS Foundation Trust,1
GRS Recovery,1
Frimley Park Hospital,1
HMP Dovegate,1
Foxhound Association,1
Forward Trust,1
Forestry Commission,1
First Response Group,1
Essex Police,1
Essex Partnership University NHS Foundation Trust,1
Epsom & St Helier University Hospital NHS Trust,1
England Boxing,1
Enfield Clinical Commissioning Group,1
HMCTS,1
HMP Garth,1
International Academics of Emergency Dispatch,1
Highways Agency Essex County Council,1
Informa Healthcare,1
Independent Monitoring Board,1
Improving Access to Psychological Therapies,1
Hull Combined Court Centre,1
Housing of Vulnerable People Building Safety,1
Home Secretary,1
Hillingdon Council,1
Highways England National Traffic Operations Centre,1
"Highways Authority, Cornwall Council",1
Health and Communities Wakefield,1
HMP Preston,1
Havering Highways,1
Haulage Contractors Limited,1
Hart Care Nursing and Residential Home,1
Hampshire Highways,1
Hampshire Constabulary,1
HSE Department for Works and Pensions,1
HMPS,1
HMP Wymott,1
HMP Stoke,1
Your Housing,1
